1er jour de la semaine,Semaine,Classe d'âge,Taux de passages aux urgences pour COVID-19,Taux d'hospitalisations après passages aux urgences pour COVID-19,Taux d'actes médicaux SOS médecins pour COVID-19
2022-04-18,2022-S16,00-04 ans,1608.2984393,2030.124427,1974.9552773
2022-04-18,2022-S16,65 ans ou plus,3990.3011804,6482.5677586,8884.6337961
2022-04-25,2022-S17,00-04 ans,1229.922498,1726.7267267,1809.0909091
2022-04-25,2022-S17,05-14 ans,288.59666734,318.36994588,2963.5457645
2022-04-25,2022-S17,Tous âges,1352.8895249,3112.3555747,4417.025626
2022-05-02,2022-S18,65 ans ou plus,2131.7829457,3536.0635697,4453.4858148
2022-05-09,2022-S19,00-04 ans,672.39344622,1091.5994305,1235.0661931
2022-05-09,2022-S19,15-64 ans,544.24428235,892.23905853,3845.7527246
2022-05-09,2022-S19,65 ans ou plus,1630.132835,2659.8841663,4005.985956
2022-05-16,2022-S20,00-04 ans,460.03598047,802.64400378,845.6043155
2022-05-23,2022-S21,00-04 ans,266.65337553,637.72381653,665.69837812
2022-05-23,2022-S21,Tous âges,452.807915,1014.5385588,2115.0952859
2022-05-30,2022-S22,00-04 ans,396.12327356,594.05940594,751.7699438
2022-05-30,2022-S22,15-64 ans,502.53054547,642.10365388,3236.1700631
2022-05-30,2022-S22,65 ans ou plus,1058.6194582,1605.9825916,3960.0737767
2022-06-06,2022-S23,05-14 ans,167.75091036,350.97981866,2483.892845
2022-06-13,2022-S24,00-04 ans,875.554801,1259.9160056,1264.7331479
2022-06-27,2022-S26,00-04 ans,2125.3544178,3370.0292069,3460.3216451
2022-06-27,2022-S26,15-64 ans,2203.7671144,2093.2101245,13011.429904
2022-06-27,2022-S26,65 ans ou plus,3919.3786507,5635.5216221,12476.537485
2022-07-04,2022-S27,15-64 ans,2556.4428104,2522.1896462,13787.262076
2022-07-04,2022-S27,65 ans ou plus,5240.1527331,7306.0483995,14031.856106
2022-07-04,2022-S27,Tous âges,3024.4746291,4995.9163546,11272.447877
2022-07-11,2022-S28,00-04 ans,2815.5272144,3546.9107551,3490.1880899
2022-07-11,2022-S28,05-14 ans,778.11102937,1130.1494714,5417.4507279
2022-07-11,2022-S28,15-64 ans,2368.3904354,2398.2938312,11941.730246
2022-07-18,2022-S29,00-04 ans,2488.5105494,3706.4676617,3112.144518
2022-07-18,2022-S29,15-64 ans,1821.2693478,2020.363346,9470.7454424
2022-07-18,2022-S29,65 ans ou plus,4422.67953,6589.2991711,8833.9561177
2022-07-25,2022-S30,05-14 ans,409.2181779,436.36363636,4429.8300037
2022-07-25,2022-S30,Tous âges,1614.9895889,3113.6085067,6368.4293698
2022-08-01,2022-S31,05-14 ans,314.4963145,113.0795326,3567.7749361
2022-08-15,2022-S33,00-04 ans,923.43340035,1727.0572299,1533.0188679
2022-08-15,2022-S33,05-14 ans,223.34625238,334.57249071,2650.6353327
2022-08-15,2022-S33,Tous âges,831.21494573,1563.716477,3740.3395697
2022-08-22,2022-S34,00-04 ans,1015.5506189,1464.84375,1405.3759039
2022-08-22,2022-S34,05-14 ans,209.3465168,216.84134442,2754.9401414
2022-08-22,2022-S34,15-64 ans,516.67144565,600.21607779,3659.7652511
2022-08-22,2022-S34,65 ans ou plus,1358.8284232,2151.0625142,3113.0471738
2022-08-22,2022-S34,Tous âges,730.28967845,1400.259909,3202.7246594
2022-08-29,2022-S35,00-04 ans,778.6005952,1253.6162006,1365.5462185
2022-08-29,2022-S35,15-64 ans,428.67466713,480.59593896,3173.428092
2022-09-12,2022-S37,05-14 ans,292.07232267,240.96385542,4676.0187041
2022-09-12,2022-S37,15-64 ans,530.23628354,577.83156991,4756.0280995
2022-09-19,2022-S38,00-04 ans,672.24056092,1061.8651893,1152.2728582
2022-09-19,2022-S38,15-64 ans,681.45610091,752.83808006,5602.4246262
2022-09-26,2022-S39,00-04 ans,634.64720415,1098.2048574,985.80868812
2022-09-26,2022-S39,65 ans ou plus,2700.3015629,3927.1552357,5999.0717104
2022-09-26,2022-S39,Tous âges,1186.0684209,2535.3434444,4399.7172686
2022-10-10,2022-S41,15-64 ans,1009.667699,1348.9244522,6134.8339402
2022-10-17,2022-S42,65 ans ou plus,3848.616961,5735.0973688,7448.2758621
2022-10-24,2022-S43,15-64 ans,715.40955217,980.71265119,4574.4885218
2022-10-24,2022-S43,Tous âges,1089.153042,2613.4943773,3458.3765279
2022-10-31,2022-S44,00-04 ans,318.15394051,498.79081016,604.46910766
2022-10-31,2022-S44,Tous âges,912.190313,2175.508738,3114.8839842
2022-11-07,2022-S45,00-04 ans,384.12572984,796.28400796,744.76008086
2022-11-07,2022-S45,05-14 ans,78.235017994,188.46588767,1908.6571234
2022-11-14,2022-S46,65 ans ou plus,2304.0487768,3536.242083,4721.3802751
2022-11-21,2022-S47,00-04 ans,471.62255958,646.86468647,804.95067932
2022-11-21,2022-S47,65 ans ou plus,2936.6385517,4486.0600951,5393.7705748
2022-11-28,2022-S48,00-04 ans,570.77234239,776.2136561,853.86048437
2022-12-05,2022-S49,Tous âges,1582.5269891,3909.3165551,3973.3494852
2022-12-19,2022-S51,15-64 ans,848.12043421,1341.5118486,2909.2463844
2022-12-19,2022-S51,65 ans ou plus,3843.5414488,5965.4348887,5002.4378352
2022-12-26,2022-S52,05-14 ans,80.360574403,80.938891137,635.18082164
2022-12-26,2022-S52,15-64 ans,569.16023706,1155.2894548,2191.2313606
2022-12-26,2022-S52,65 ans ou plus,3004.8593435,4556.2176368,2997.3832369
2023-01-16,2023-S03,05-14 ans,34.883408914,63.673989175,623.49759615
2023-01-16,2023-S03,65 ans ou plus,701.75438596,1128.3541486,1127.3538157
2023-01-23,2023-S04,15-64 ans,127.20024027,203.86935719,911.21755598
2023-02-06,2023-S06,00-04 ans,191.68154606,369.00369004,168.57089343
2023-02-06,2023-S06,05-14 ans,45.47086275,31.328320802,327.57797038
2023-02-06,2023-S06,Tous âges,248.2089468,593.29216612,705.47937437
2023-02-13,2023-S07,05-14 ans,23.556509449,32.467532468,299.4011976
2023-02-13,2023-S07,Tous âges,293.99719167,715.8217664,773.76470283
2023-02-20,2023-S08,00-04 ans,239.4362365,332.44680851,92.704842045
2023-02-20,2023-S08,65 ans ou plus,775.52778975,1127.4700891,1196.4107677
2023-02-27,2023-S09,15-64 ans,205.75556463,278.0016116,1137.8876781
2023-02-27,2023-S09,Tous âges,340.86745512,742.82242139,876.76630104
2023-03-06,2023-S10,65 ans ou plus,1108.4896828,1705.9869937,2123.4625203
2023-03-13,2023-S11,65 ans ou plus,1312.3061796,1956.442611,2353.0846135
2023-03-13,2023-S11,Tous âges,553.59796222,1195.8101689,1562.9576689
2023-03-27,2023-S13,05-14 ans,69.762371921,120.12012012,1170.4795926
2023-03-27,2023-S13,65 ans ou plus,1564.2102584,2410.2952309,2697.8631968
2023-04-10,2023-S15,00-04 ans,592.15008122,990.93400801,516.79586563
2023-04-10,2023-S15,05-14 ans,33.187817518,0.0,958.93993549
2023-04-17,2023-S16,00-04 ans,550.66688804,987.43267504,393.29177798
2023-04-17,2023-S16,Tous âges,728.57540513,1717.260908,2200.7747357
2023-04-24,2023-S17,00-04 ans,440.08690324,658.90621568,399.45673884
2023-05-01,2023-S18,15-64 ans,284.03001072,354.26097225,2219.7729527
2023-05-01,2023-S18,65 ans ou plus,1269.8491281,1882.2808093,2645.5026455
2023-05-01,2023-S18,Tous âges,500.63452515,1118.247418,1809.8218277
