BOR;AN;FI;FI_EJ;EQUIPSSR;SANSEQ;EQPL;EQAU
SSR2;2019;020000535;020000287;EXPEQU;1;;
SSR2;2019;020000535;020000287;EXPURO;1;;
SSR2;2019;020000535;020000287;IDRACH;1;;
SSR2;2019;020000535;020000287;ISOCIN;1;;
SSR2;2019;020000535;020000287;LABMAR;1;;
SSR2;2019;020000535;020000287;PISCIN;1;;
SSR2;2019;020000535;020000287;SALINT;1;;
SSR2;2019;020000535;020000287;SIMESP;;1;
SSR2;2019;020000535;020000287;STICON;1;;
SSR2;2019;020000535;020000287;VEHADP;1;;
SSR2;2019;020000915;020003620;APTAUT;1;;
SSR2;2019;020000915;020003620;ASSMAR;1;;
SSR2;2019;020000915;020003620;ASSMEM;;1;
SSR2;2019;020000915;020003620;EXPEQU;;1;
SSR2;2019;020000915;020003620;EXPURO;1;;
SSR2;2019;020000915;020003620;IDRACH;1;;
SSR2;2019;020000915;020003620;ISOCIN;1;;
SSR2;2019;020000915;020003620;LABMAR;1;;
SSR2;2019;020000915;020003620;PISCIN;;1;
SSR2;2019;020000915;020003620;SALINT;1;;
SSR2;2019;020000915;020003620;SIMESP;;1;
SSR2;2019;020000915;020003620;STICON;;1;
SSR2;2019;020000915;020003620;VEHADP;;1;
SSR2;2019;020001087;020004495;APTAUT;1;;
SSR2;2019;020001087;020004495;ASSMAR;1;;
SSR2;2019;020001087;020004495;ASSMEM;1;;
SSR2;2019;020001087;020004495;EXPEQU;1;;
SSR2;2019;020001087;020004495;EXPURO;1;;
SSR2;2019;020001087;020004495;IDRACH;1;;
SSR2;2019;020001087;020004495;ISOCIN;1;;
SSR2;2019;020001087;020004495;LABMAR;1;;
SSR2;2019;020001087;020004495;PISCIN;1;;
SSR2;2019;020001087;020004495;SALINT;1;;
SSR2;2019;020001087;020004495;SIMESP;1;;
SSR2;2019;020001087;020004495;STICON;1;;
SSR2;2019;020001087;020004495;VEHADP;1;;
SSR2;2019;020003877;020000253;APTAUT;1;;
SSR2;2019;020003877;020000253;ASSMAR;1;;
SSR2;2019;020003877;020000253;ASSMEM;1;;
SSR2;2019;020003877;020000253;EXPEQU;1;;
SSR2;2019;020003877;020000253;EXPURO;1;;
