BOR;AN;FI;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23;ORG_A12;GCS_PM;GHT_PM;AUT_PM;GCS_PARA;GHT_PARA;AUT_PARA;GCS_ADMTECLOG;GHT_ADMTECLOG;AUT_ADMTECLOG
ORG;2019;070000047;070780127;;;;1;A;B;;;;;;;;;;1;A;;;;;1;A;;;;;;;;;;;;0.2;;;;;0.01;;0.25;0.03;0
ORG;2019;070000062;070005558;;;;2;A;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;
ORG;2019;070000070;070780150;;;;2;B;A;;;;;;;;;;;;;;;;5;D;C;;;;;;;;;;;;;0.01;;;;;;0.06;
ORG;2019;070000096;070780184;;;;2;A;C;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.1;;;;;;;;;
ORG;2019;070000112;070007927;;;;1;A;B;;;;;;;;;;1;A;;;;;2;C;;;;;;;;;;;;;;;;;;;;;
ORG;2019;070000187;070780366;0;;;0;;;0;;;0;;;0;;;0;;;0;;;45;C;A;0;;;1;1;RHÔNE VERCORS VIVARAIS;;;;;0;0;0;0.07;0;0;0.5;0;0;0
ORG;2019;070000203;070780382;;;;1;B;;;;;;;;;;;;;;;;;8;C;A;;;;;;;;;;;0.03;;;0.2;;;0.7;;0.1;0.59
ORG;2019;070004726;380793802;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;070005046;260003264;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2019;070780226;750050759;;;;;;;1;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;0;0;0;0;0;0;0
