BOR;AN;FI;FI_EJ;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2019;650000060;650780174;42;15092;36;30;0;0;1;1;9;0;14;2;2;0;0;;7;;;;;;8;0;1
USLD;2019;650780141;650783160;47;16852;33;29;;;;;;;;;;;;;;;;;;;;;
USLD;2019;650780182;650783160;101;35427;49;40;;;;;;;;;;;;;;;;;;;;;
USLD;2019;650786668;650780166;36;12581;26;14;;;;;;;12;3;;;;;4;;;;;;;;
USLD;2019;660000084;660780180;38;13611;11;9;1;;2;;7;;;;;;;;1;;;;;;2;;
USLD;2019;660000167;660780271;40;14514;33;16;;;8;1;;;6;3;;;;;10;;;;;;8;;
USLD;2019;660007261;660010059;15;5432;4;4;;;1;;;;3;;;;;;;;;;;;;;
USLD;2019;660009341;660786799;60;2464;39;2;;;;8;;;14;10;;;;;7;;;;;;3;3;
USLD;2019;660781444;660780180;160;56841;66;60;;;8;;4;;33;7;;;;;14;;;;;;4;;1
USLD;2019;670000041;670780071;30;10063;27;25;;;;4;;;14;4;;;;;5;;3;;;;;;
USLD;2019;670000058;670013366;72;25866;32;30;;;;4;;;;4;14;;;;9;;;;;;;;
USLD;2019;670000157;670780337;31;10767;19;18;;;;;4;;12;2;;;1;;;;4;;5;;;;
USLD;2019;670000165;670780345;30;10617;29;22;;;7;1;;;14;1;2;;;;4;;;4;;;2;;
USLD;2019;670000215;680000643;45;15864;34;;;;;;;;;;;;;;;;;;;;;;
USLD;2019;670000306;670780584;104;34890;67;71;0;0;9;12;10;1;11;11;0;0;0;0;13;0;0;33;111;0;6;3;0
USLD;2019;670000348;670780642;30;10195;18;15;;;;;;2;10;1;;;1;4;;;;;;;;;
USLD;2019;670000397;670017755;45;16227;19;16;;;;1;;;;1;;;;;17;;;;3;;2;;
USLD;2019;670000603;670781152;40;14082;22;23;0;0;0;5;0;0;0;5;3;0;0;0;9;0;0;4;1;0;3;0;0
USLD;2019;670002278;920030269;50;15826;58;29;;;;21;;1;10;8;;1;;;17;;;;;;7;2;
USLD;2019;670014992;670780139;31;10485;37;32;;;15;;;;11;4;;;;;7;;;;;;3;1;
USLD;2019;670799550;670780055;124;42276;92;74;1;;40;3;16;;17;7;;;;;;;;25;;;4;;
USLD;2019;680000122;680020336;30;9528;36;29;;;7;;;;16;7;;;;;;6;;;;;1;5;
USLD;2019;680000312;680015963;30;9222;26;25;;;9;;;;7;;;;;;10;;;;;;0;0;0
USLD;2019;680000544;680020336;25;8090;20;23;;;2;;9;;4;;;1;;;4;1;;3;;;;2;
USLD;2019;680000627;680020336;30;9613;14;8;;;1;;3;;6;;;;;;;;;;;;1;;
USLD;2019;680000767;680001088;48;17226;43;39;;;18;;2;;21;;;;0;;2;0;0;12;2;1;0;1;0
USLD;2019;680000833;680001138;46;16343;46;28;;;;7;;;29;;;;;;10;;;;;;11;;
USLD;2019;680000882;680000643;30;10738;28;24;;;;;9;4;6;3;;;;;6;;;;;;5;;
USLD;2019;680004553;680020336;108;38342;73;51;;;9;;25;;17;;;;;;6;1;;1;;;3;4;
USLD;2019;680020427;680014495;80;27892;75;49;;;;7;;;31;6;;;;;31;;;;;;13;12;
USLD;2019;690000245;690780432;100;34350;71;56;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0
USLD;2019;690000773;690782925;85;30806;56;45;;;3;;;;38;;1;;;;10;;;1;;;;;
USLD;2019;690780150;690000104;30;10373;27;21;0;0;1;7;0;0;10;3;0;0;0;0;6;0;0;0;0;0;2;0;0
USLD;2019;690782420;690793633;33;11939;17;9;;;;12;;;2;1;;;;;2;;;;;;;;
USLD;2019;690784194;690781810;54;19386;21;21;;;4;;;;16;1;;;;;;0;0;0;0;0;1;0;0
USLD;2019;690787429;690781810;59;21186;35;;;;8;1;;;20;2;;;;;2;;;2;2;;;;
USLD;2019;690787452;690781810;150;54333;73;;;;25;0;;;46;0;;;;;2;;;;;;;;
USLD;2019;690787478;690781810;125;44861;43;;;;;;;;37;2;;;;;4;30;30;60;40;;;5;
USLD;2019;690791132;690001912;60;20072;56;43;;;;;;;;;;;;;;;;;;;;;
