BOR;AN;FI;FI_EJ;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A21;PALIA_A22;PALIA_A23;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A24;PALIA_A19;PALIA_A20;USP_EFFPL_PM;USP_EFFPL_PMPAL;USP_EFFPL_CADRES;USP_EFFPL_IDE;USP_EFFPL_IDEPAL;USP_EFFPL_AIDES;USP_EFFPL_PSY;USP_EFFPL_PNMAUT;USP_EFFPA_PM;USP_EFFPA_PMPAL;USP_EFFPA_CADRES;USP_EFFPA_IDE;USP_EFFPA_IDEPAL;USP_EFFPA_AIDES;USP_EFFPA_PSY;USP_EFFPA_PNMAUT;USP_ETP_PM;USP_ETP_PMPAL;USP_ETP_CADRES;USP_ETP_IDE;USP_ETP_IDEPAL;USP_ETP_AIDES;USP_ETP_PSY;USP_ETP_PNMAUT;EMSP_EFFPL_PM;EMSP_EFFPL_PMPAL;EMSP_EFFPL_CADRES;EMSP_EFFPL_IDE;EMSP_EFFPL_IDEPAL;EMSP_EFFPL_AIDES;EMSP_EFFPL_PSY;EMSP_EFFPL_PNMAUT;EMSP_EFFPA_PM;EMSP_EFFPA_PMPAL;EMSP_EFFPA_CADRES;EMSP_EFFPA_IDE;EMSP_EFFPA_IDEPAL;EMSP_EFFPA_AIDES;EMSP_EFFPA_PSY;EMSP_EFFPA_PNMAUT;EMSP_ETP_PM;EMSP_ETP_PMPAL;EMSP_ETP_CADRES;EMSP_ETP_IDE;EMSP_ETP_IDEPAL;EMSP_ETP_AIDES;EMSP_ETP_PSY;EMSP_ETP_PNMAUT
PALIA;2019;110000023;110780061;1;6;;;43;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;110000049;110780087;1;3;0;0;93;0;;;;;;;0;;;;;;;;;;;;2;;;;;;;;;;;;;;;;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;110000056;110780137;1;7;;;;0;;;;;;;1;2160;17;8;260;55;69;150;307;;220;230;2;;;6;;10;;;0;;;1;;;;;0.41;;;1.78;;2.74;;;1;;;;;;;2;1;;;2;;;2;1;0.97;;;1.81;;;0.7;1
PALIA;2019;110780228;110000114;1;12;;;261;0;;;;;;;1;6209;13;3;2662;;30;95;847;9;98;90;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;4;4;;2;;1;;2;2.81;2.81;;1.38;;0.41;;1.29
PALIA;2019;110780483;110000155;0;;;;;1;1;10;269;;;;0;;;;;;;;;;;;;;1;8;;8;;;;;;1;;;1;1;;;1;6.72;;6.97;0.5;0.57;0;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;110786746;110786324;1;3;3;;29;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;120000039;120780044;0;;;;;1;1;10;304;0;0;12;1;991;8;3;136;127;0;9;338;0;5;5;1;1;1;8;;8;1;;1;1;;;;1;;;1;0.4;0.9;8;;8.8;0.25;;1;1;1;2;2;;1;;1;1;;;;;;;0.4;0.2;0.1;1.3;1.3;;0.25;
PALIA;2019;120000054;120780069;1;4;;;64;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;120000096;120780101;1;2;;;12;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;120000153;120780291;1;3;3;0;146;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;120004569;120004528;1;3;;;32;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;120004668;120004619;1;3;1;0;55;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;120780135;120000104;1;12;12;0;129;1;2;12;0;105;0;0;0;;;;;;;;;;;;;;;;;;;;2;2;4;7;;8;1;6;0.8;0.8;1.1;5;;7.33;0.5;3.9;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;120780143;120000112;1;6;6;0;29;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130000409;130041916;1;4;4;;42;0;;;;;;;1;3266;;;9;6;;3;588;3;4;4;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;0;0;;;;;1;1;1;1;;1;;;0.5;0.83
