BOR;AN;FI;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2019;120004569;120004528;;1;;;;;;1;;;1;;0;0;0;0;0;1;1;1;1;0;;3.91;0.8
INFOMED;2019;120004668;120004619;;1;;;;;;1;;;;;0;0;0;0;0;1;1;0;1;0;;0.9;0.2
INFOMED;2019;120780135;120000104;;;;;;;;1;;;;;0;0;1;1;1;1;1;1;0;0;;0.35;0.1
INFOMED;2019;120780143;120000112;;;;;;;;;1;;;;0;0;0;1;1;0;0;0;0;0;;0.8;0
INFOMED;2019;120780283;630786754;;;;;;;;;;1;;;0;0;0;0;0;1;1;0;0;0;;2;0.01
INFOMED;2019;120783618;120784616;;;;;;1;;;;;;;0;0;0;1;0;1;1;1;0;0;;0.1;0.3
INFOMED;2019;130000235;130780554;;;;;;;;;;1;;;0;0;0;0;0;1;1;1;0;0;;3.7;0.8
INFOMED;2019;130000409;130041916;;1;;1;;;1;;;;;;0;0;0;0;0;1;1;0;0;1;130811102;11.39;2.22
INFOMED;2019;130000433;130781131;;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;;3.41;1
INFOMED;2019;130000516;130781339;;;1;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;1.2;0.1
INFOMED;2019;130000565;130781446;;;1;;;1;1;;;;;;0;0;0;0;0;0;;;0;0;;2.92;0.9
INFOMED;2019;130001225;130782634;1;;;;;;1;;;;;;0;0;0;0;0;1;1;0;0;0;;2.75;1
INFOMED;2019;130001258;130028228;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;0;0.1
INFOMED;2019;130001647;130784127;;;1;;;1;;;;;;;0;0;0;0;0;1;0;0;0;0;130784127;7.03;1.87
INFOMED;2019;130002215;130785512;;1;;1;;;;;;;;;0;0;0;1;1;0;0;0;0;0;;1.8;0.4
INFOMED;2019;130002496;130786494;;;;;;;;;;1;;;0;0;0;0;0;1;1;0;1;0;;2;0.3
INFOMED;2019;130002827;130789274;;1;;;;;1;;;1;;;0;0;0;0;0;0;0;0;1;0;;3.6;1.5
INFOMED;2019;130002835;130789316;;1;;;;;;;1;1;;;0;0;0;0;0;1;1;0;0;0;;5.02;2.42
INFOMED;2019;130008048;130043169;;;;;;;1;;;;;;0;0;0;0;0;1;1;0;1;0;;0.28;0.4
INFOMED;2019;130008238;130044118;;;;;;;1;;;;;;1;1;1;1;0;0;;;0;0;;;0.05
INFOMED;2019;130008253;130001084;;;1;;;;;;;;;;0;0;0;0;1;0;0;0;1;0;;2.79;0.04
INFOMED;2019;130021488;130021439;;;;;;1;;;;;;;0;0;0;0;0;0;0;0;0;0;;;0.25
INFOMED;2019;130021819;130021769;;;;;;1;;;;;;;0;0;0;0;0;0;0;0;0;0;;0.1;0.25
