BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2019;620003202;620103432;SURVADU;6;2190;483;;;1535;;;;;;;1;;0.2;3;1;3.92;3;1;3.7;;;;;;
REA;2019;620003350;620001834;SURVADU;10;3650;663;;;2533;;;;1;1;1.8;0;1;0.5;9;2;11.5;6;1;6.8;0;1;0.2;1;6;1.2
REA;2019;620003376;620001834;SURVADU;10;3650;551;;;3003;;;;10;;10;;;;;;;;;;;;;;;
REA;2019;620006049;620000331;SURVADU;6;2190;86;;;678;;;;;;;;1;0.5;4;;4;2;;2;;;;;;
REA;2019;620025346;620001834;SURVADU;9;3285;552;;;2617;;;;;6;1.04;;1;0.25;4;10;10.26;3;12;8.48;;;;;5;0.86
REA;2019;620033761;620023770;REAADU;6;2190;760;810;7;2593;0;49;151;3;0;1.1;10;1;10.9;;;;6;3;6;;;;4;1;0.8
REA;2019;620033761;620023770;SURVADU;4;1460;474;;;1929;;;;3;0;0.3;3;1;3.8;;;;3;0;3;;;;4;1;0.7
REA;2019;620100099;620014779;AUTSI;6;2190;530;;;2292;;;;17;5;18.5;;1;0.5;5;;5;3;;3;;;;;;
REA;2019;620100099;620014779;SITOT;6;2190;530;;;2292;;;;;;;;;;;;;;;;;;;;;
REA;2019;620100099;620014779;SURVADU;6;2190;336;;;1713;;;;17;5;18.5;;1;0.5;2;;2;2;;2;;;;;;
REA;2019;620100487;620000125;SURVADU;6;2190;162;;;995;;;;1;2;2;;;;2;1;2.15;1;1;1.86;1;;0.5;;5;0.5
REA;2019;620100735;620000265;SURVADU;6;2190;353;;;2059;;;;1;;1;;;;7;0;6.91;4;1;4.99;;;;;;
REA;2019;620100750;620000273;SURVADU;6;2190;477;;;2284;;;;;6;0.5;8;;7.5;;;;6;;5.6;;;;;;
REA;2019;620101311;620027763;SURVADU;6;2190;611;;;3060;;;;6;;6;;;;6;2;7;6;2;7;;;;2;;2
REA;2019;620101501;620000364;AUTSI;6;2190;464;;;1950;;;;6;;6;;;;;;;;;;;;;;;
REA;2019;620101501;620000364;SITOT;18;6570;1557;;;5687;;;;;;;;;;;;;;;;;;;;;
REA;2019;620101501;620000364;SURVADU;16;5840;899;;;4003;;;;6;;6;;;;;;;;;;;;;;;
REA;2019;620101501;620000364;USIC;12;4380;1093;;;3737;;;;16;;16;;;;;;;;;;;;;;;
REA;2019;620118513;620002915;AUTSI;6;2190;733;;;2535;;;;7;;;1;;0.33;9;;9.32;4;;4.07;;;;;;
REA;2019;620118513;620002915;SITOT;16;5840;1645;;;5284;;;;;;;;;;;;;;;;;;;;;
REA;2019;620118513;620002915;SURVADU;6;2190;353;;;1943;;;;2;7;;1;;0.33;10;1;12.14;4;1;5.75;;;;;;
REA;2019;620118513;620002915;USIC;10;3650;912;;;2749;;;;11;5;;1;;0.5;10;2;13.17;7;;7.67;;;;;;
REA;2019;630000404;630780989;AUTSI;8;2918;741;;;2060;;;;1;;0.1;;;;6;5;9.91;8;2;9.3;;;;3;;2.78
REA;2019;630000404;630780989;REAADU;52;18980;2467;2620;275;16027;6;41;244;21;1;21.1;10;;10;116;41;150.6;67;22;81.26;;;;14;6;23.58
REA;2019;630000404;630780989;SITOT;32;11678;3609;;;9414;;;;;;;;;;;;;;;;;;;;;
REA;2019;630000404;630780989;SIUNV;4;1460;467;;;1205;;;;;;;;;;1;8;6.39;1;4;3.4;;;;;;
REA;2019;630000404;630780989;SURVADU;28;10108;1477;;;9458;;;;2;;0.93;;;;7;9;16.26;3;4;7.66;;;0.5;;;0.76
REA;2019;630000404;630780989;USIC;20;7300;2401;;;6149;;;;1;;0.55;1;;1;20;11;29.28;18;7;23.48;;;;1;3;4.44
REA;2019;630000420;630781003;SURVADU;4;1460;275;;;1223;;;;2;2;3.6;;1;0.1;5;1;5.8;4;2;5.6;;;;;;
REA;2019;630000438;630781011;SURVADU;6;1531;592;;;1349;;;;2;;2;;;;;;;;;;;;;;;
REA;2019;630000446;630781029;SURVADU;6;2190;228;;;1543;;;;4;4;3.35;;;;10;3;12.8;7;5;11.15;;;;1;1;1.39
